"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"PRIM2","CYR61","ETV5","ELOVL2","SERPINB9","C3orf32",,,"CDK6","THY1","SRSF3","HN1","KRT23","C4orf49","PDK1","TTC37","KIAA0930",,,"TTR","CORO2B","CNGA2","CCR10","RHD","TANK","TSPAN8",,"TMEM106C","C12orf24","KCNH3","KCNJ10","MARS","DUSP4","ABCC4","TNNT1","MYT1","ST13","IL8","MYL3","F11","DNAAF1","BARX1","NOS1","VEGFA","OTUB2","ZNF185","TSPAN1","C1orf210","CORT","RNF130","C8orf4","ADAM19","TIMP3","CRISPLD2","GADD45G","NPTXR","BOLA1","GCKR","SNTG2","TNNT2","LYNX1","RDBP","TAL2","CBS","GPNMB","SCG2","DOCK7","ELANE","MPP6","URB2","GPR176","OCA2","DKFZP434A062","MAS1",,"KIF2A","SGK3",,"DDAH1","BTG2","CD101","THAP1","CLSTN2","LOXL2","SLC37A1",,"AGT","TNNT2","PIPOX","SYT1",,"SYT1","GPR4","GSG1","HMP19","PTPRR","GPR4","INSM1","HAS2"
,"SIRPA","SDCBP","ALDOC","TBP","CFDP1","ANPEP",,,"KCNAB2","MARK3","CD274","CTPS","PLAGL1","SLC6A6","TG","RIPK2","UBA7",,,"EZH2","MAP2","CPS1","IL2","PRTN3","GAD1","NEBL",,"IL17RB","SLC6A15","HPX","KIF20A","CLOCK","TFPT","CADPS2","VTN","NXF2","EVI5","CD70","DACH1","PTPRCAP","TRGV7","LIM2","CASP6","ARL4A","KLK10","TTLL3","D4S234E","COL4A2","CHD7","SPOCK2","HMGB3P1","CD97","FKRP","TNFRSF8","CNTD2","COL4A1","NKX2-8","CLDN7","B4GALT1","SEC14L2","SLC2A9","SRPX2","ABCG4","VEGFA","TBC1D2B","SV2B","PPP1R21","CPM","RNF144A","KCNE1L","NOS2","C1orf20","SLC39A7","SLCO2A1",,"UQCRC2","BST1",,"GALNT12","YES1","BCL2A1","STX12","DOCK3","ZNF654","VCAN",,"PNPLA4","TNS1","AGTR2","PDE2A",,"PDE2A","MMP9","GPR37L1","NEBL","LDB3","MMP9","LOC651803","CDA"
,"EIF6","IDO1","SCCPDH","SDC3","NAA15","KRT13",,,"EVX1","SLC6A3","UBE2N","MRAS","ST6GALNAC6","HIF3A","KCNE3","TOPORS","CABP1",,,"GALNT14","PELP1","DCC","HIST1H3F","SPRR2C","RIPK1","YAP1",,"INA","PCOLCE2","MORN3","PRKCDBP","COPZ1","SLC9A6","AQP3","PHYH","IDO1","SPON1","SLPI","RBM4","ARMC8","LRRTM2","CD22","MRAP","GALE","SERPINA5","SPIN2A","HES6","KRT7","ABCC6","CD55","MRAS","ITGA3","MFAP5","ATP13A2","HIST1H1T","NPY6R","PNO1","WDR78","BST1","DPF3","HEATR5B","KIAA0195","GLIS2","SLC30A10","FAM26E","NXPH2","EVI2A","CTSS","TRMU","FLT3LG","PCDHB13","AAGAB","PARG","MAFB",,"ATP5A1","CD86",,"SLC26A8","SLC12A6","HIST1H2AM","SQSTM1","SDCCAG8","SERPINB1","MMP9",,"TRPC2","TOP2A","CXCR2","NOL4",,"NOL4","KCNC2","KIAA0754","TRIM2","LOC401034","KCNC2","SYT5","RUNX3"
,"RBM22","MALL","SPAG4","KCNJ4","GBP2","KRT19",,,"CELA2B","SLC18A3","TCEB1","CDCA8","GPD2","PLAGL1","APOOL","PPAT","TP53I11",,,"GNA15","HSD3B1","OXT","CLCN6","GUCY2D","CELP","LAMP3",,"DSCR6","POLR1E","BRWD1-IT2","ASS1","IFITM1","ADORA1","AKR1C3","GJA5","FGF12","MYH1","ETV1","PLEKHA5","PPP1R8","TNC","PGLYRP4","SEC14L2","MGAT4A","DEFB126","AHSP","RPL22","ANKRD1","DOC2A","DKK1","FABP2","GAB2","TNFSF9","TNFRSF9","PCDHB12","MYF5","METTL1","SELENBP1","SEC14L2","GRTP1","NUMBL","FBLN5","ZBTB12","TTYH3","TDG","SYT5","KCTD1","MDFIC","HK2","SIGLEC9","ST6GALNAC2","PAN2","HDAC4","SPSB1",,"DDX50","CCNA1",,"C20orf103","PANX1","HIST1H3A","KLHL28","FGF7","CDA","PXDN",,"PARL","TSPAN3","NELL2","ZNF528",,"ZNF528","NRL","CCL16","TSPAN7","ZNF749","NRL","HKDC1","STC2"
,"EVL","MIR22HG","BCAM","CCDC99","ZFX","ASPH",,,"SLC35D1","CTF1","CCDC59","ASB6","PYGL","IFIT2","TESC","CPA3","TRAF1",,,"PCSK1N","KRT7","RASGRP2","BDKRB1","ANGPTL3","XCL1","RNASE4",,"NEFL","CHCHD10","MLXIPL","C1S","PDIA3","ACTG2","DBNDD2","KHDRBS3","LOC390940","HINFP","BPGM","MTRF1","ADAM12","ZNF780B","GDF10","FERD3L","HERPUD1","BIRC3","PLA2G2F","NAGA","OCLN","NME3","VIL1","CCL20","KRT75","PSG5","MMP7","GABRA5","PAIP2B","CNTN4","C14orf37","TTC39C","TTC39C","RAD54L","ORC6","FST","SEMA3E","SPATA6","RASGEF1A","FSTL1","DMXL2","LYL1","OR6A2","AGMAT","NMBR","TET3","MLXIP",,"DTX4","CD84",,"MGAT4A","GAN","SAMD8","OLR1","VENTX","KIN","LSM6",,"HLA-DOA",,"ZFHX4","LOC401034",,"LOC401034","KIF5A","KIF24","ST3GAL6","CD1A","KIF5A","CADPS2","LGALS1"
,"UBR2","ETV5","DNAJC4","SEC62","SMC4","HMBS",,,"S100A2","CASP3","ST3GAL1","CASP2","TMEM56","S100A14","NKAIN1","UFL1","PART1",,,"ANXA3","APOD","RBPMS","SARDH","IKZF1","USP9Y","AMPH",,"CYP26A1","SLC27A2","MRPS34","DHRS1","PA2G4","KMO","SLC6A6","ERVMER34-1","TLE2","DUSP8","NPAS2","CCNK","BAG2","ROPN1B","SLC16A4","SLC6A20","RIT1","SH3BGR","ZNF750","CUBN","SOX17","LPAR4","GPC3","PYGB","CSF1","GDF5","NRP2","SLC6A1","P2RX3","TUFM","LOC253039","DOHH","LAD1","ID1","CDC45","RENBP","RGS20","NOX4","NEFL","G2E3","CCRL1","IRS1","LRP8","CASC1","EXOSC7","SLC20A1","TNFAIP8",,"CPNE1","LY96",,"PROK2","THBD","SLC12A6","EGR2","LY75","ALDH7A1","DAAM1",,"HLA-DOB",,"SMAD5-AS1","NPY6R",,"NPY6R","GULP1","ETV2","ANK2","TTC22","GULP1","ABHD8","PHLDA3"
,"KPNA3","VAV3","PCDH1","MATR3","MCM10","IRF7",,,"CDR2L","CA9","SMARCA4","KRT18","HIF3A","NKAIN1","RCOR2","DHX29","TXNIP",,,"ZFR2","TSC22D4","MYOM1","FLT1","CCL4","TNC","LRIG1",,"SLC27A3","METTL1","TM4SF5","PLEK","MAD2L1","PPAP2C","GNE","S100A8","LIME1","CDADC1","KLF11","ZNF76","IGLV6-57","MAP2","BEST2","DBNDD1","EBNA1BP2","NOL4","KIAA0513","NLRP3","TMED3","GATS","RBP4","AMELY","VEGFC","CTSS","P2RX5","CYP11B1","CDHR2","CFHR1","CDR2","IER3","SNTB2","NUDT5","DHFR","COL11A2","VNN1","TAGLN","BCL11B","USP16","CEACAM8","PLEC","IL18RAP","C13orf15","AZI1","CCDC94","BRDT",,"HLA-B","SLC35D2",,"HK3","ICAM1","HIST1H3B","SIPA1L2","C8orf39","CAPRIN2","DUSP5",,"FGF7",,"FOXD1","C7orf63",,"C7orf63","POLM","KCNJ14","KIF5C","GRIN2A","POLM","MAP3K1","MAOA"
,"MRPL46","CCL2","ST8SIA4","GPATCH2","PAN2","CCDC9",,,"ASNS","FOXO4","ETS1","DRAP1","GPX8","WFDC12","LIPG","TMED5","KIAA0556",,,"MLF1IP","KCNK3","PKLR","ACCN4","MOG","ZNHIT2","VIPR1",,"MNX1","TMEFF2","DYRK4","PLD4","ANKRA2","SLC26A2","ARHGDIB","RASL11B","IL8","BMP2K","MCTP1","EDN1","PNOC","IPW","MYH6","CREB3L2","NANS","CASP4","AK4P3","TEX264","DRAM1","SPEF1","PKDCC","RRAS","FAM189A1","DKK1","CXCL1","IFNA4","CHST8","UROS","FAM161A","GAS7","GAS7","HEY2","POLE2","TINAG","SCG3","PSTPIP1","SATB2","SLC35B2","TRIM36","TMEM209","TPBG","SEMA7A","C17orf75","FAM149B1","TRIB1",,"ATP1A1","HIST1H2BH",,"C1orf115","ARID5B","SIPA1L2","CXCL3","HSD3B2","IFIT1","FEZ1",,"LOC100126582",,"CLCNKB","SMPX",,"SMPX","CLSTN2","IL17RB","SLC6A15","EGFL7","CLSTN2","IL7R","CARD9"
,"NCAPH","MAP3K5","SOX9","CKS2","LARP7","SLIT1",,,"GPT","SELPLG","PTPN1","CHEK2","CLMN","C3orf52","C9","CRYBG3","SEMA5A",,,"APOL6","ZNF324B","KCNN1","SYN1","PTX3","DEFB1","SPRY2",,"HBA2","GLS2","DTX2","TREX1","RPN1","CXCR4","LIMCH1","BACE2","ATP1B2","FUCA1","L1CAM","CAB39L","CD37","CCL27","SLC17A1","PER2","CD79B","LOXL2","TNS4","PIGC","FHL2","SYTL2","SEL1L3","TBL1Y","ABLIM3","SLC1A4","SLC19A1","TSPAN2","SLC9A7","ATP8B3","FAIM","MEST","PRM3","RP9","ASF1B","ART1","LGI4","CCDC96","SLC6A17","SOX8","CLEC2B","KCNJ2","GALNT8","MARCH2","MAOA","TRIP12","KLF10",,"CSE1L","C1orf38",,"HNF4G","BCL3","CPEB4","CD36","ABCC6","RGS2","ZFYVE16",,"FGF7P2",,"METRN","CXCL3",,"CXCL3","FCRL2","HDLBP","HEY1","CX3CR1","FCRL2","NOL4","SLC2A3"
,"ART3","ELK3","KMO","NTHL1","SOCS2","PTK6",,,"KIFC1","TRAF1","KLF10","MYBL2","SLC6A6","NFIL3","BACH2","CALB2","PER2",,,"PLCB4","GNA15","GRIN2D","NGFR","H6PD","ZFP37","SCRN1",,"NAT8L","SAC3D1","RNASE1","C13orf33","ATP5B","CLIC3","MALL","BPGM","CCL18","ADAM17","PCDH9","ACE","SLC25A24","PTPRS","OXCT2","SECTM1","LGMN","SLCO1B3","WDR25","GDE1","LMO7","ARID3B","G6PC3","PCK2","HTR1D","BMP5","SPP1","SHC2","MFSD6","CAMK2N2","DOCK8","CDKN2C","IMPG1","PRKCE","PRIM1","FOXI1","HEY2","IGFBP3","SYT1","SIRT2","ADRA2A","APLP1","PRAF2","ZNF749","ANXA10","P2RX1","CD1E",,"MATR3","PTPRE",,"PAWR","FNDC3A","IL10RA","IL10RA","B3GNTL1","FKBP1B","TP53BP2",,"HYAL4",,"CIDEA","TFDP3",,"TFDP3","C9orf38","MGLL","GRIA2","RELN","C9orf38","C2orf67","MIA"
,"PRADC1","SGPP1","CLMN","MBTD1","ASB3","PROP1",,,"PRRC2A","DYRK4","IL11","TUBA4A","GCH1","MAL2","COMTD1","STAU2","SLC22A2",,,"RDH16","EMILIN2","TPK1","GPR162","BFSP2","AP4E1","ITGB4",,"FAM43B","PMM2","ICAM5","ERAP1","DAP3","QPRT","CCNJL","CAPN2","C14orf56","DMD","CORO2B","FCHO1","TNNT2","ARHGAP15","KCNS1","SLC27A2","CHORDC1","IL4R","KRT13","CUL4A","GATA4","SH3RF1","AFP","CCR7","LRRC15","LTBP4","SLC2A6","MAL","FYB","UBL4A","TMLHE","MYO7A","C10orf47","C12orf24","NRM","FGF10","LPGAT1","TSPO","CKMT1A","MAP6D1","MAF","SLCO4A1","PRR7","PCDHB1","TAB1","MADD","PFKFB3",,"PAPSS1","GADD45A",,"SEPT1","OLR1","DUSP5","KMO","SLC7A9","ANKRD36B","UXS1",,"GPR135",,"GPR37L1","EVI2A",,"EVI2A","RNASE1","PSCA","TRIL","TBX3","RNASE1","EMID2","NR3C1"
,"WDHD1","CYP27B1","SPTBN2","STAG2","MYB","FSCN1",,,"TGFBR2","PDE1B","PCSK7","PDCL3","CPE","RASSF1","ELF5","IL6ST","NCF2",,,"UPP1","ISLR","CHRNA7","TXK","P2RY11","BIN1","CEACAM6",,"SEPX1","HS6ST2","C2orf73","SCG2","MRPS18A","ANXA6","WNT11","TNFRSF21","GNG3","PPM1H","MTHFD2L","ERAP2","ALOX12B","NEUROD4","BCAN","LCT","PAK1IP1","PTGDS","FGF6","KRT7","TCN2","HTRA2","SGCE","ENTPD3","LIF","TIE1","MMP15","LPPR4","GNG11","RSAD1","RCVRN","HCLS1","ACVR2B","PRKAB1","BGN","RABEPK","ABCB9","C1QTNF1","TSPYL5","RBM11","PROM1","LTC4S","RNF144A","CD79B","MAGEA8","STK10","PVRIG",,"LRPAP1","KLF4",,"CR2","SQSTM1","LOC644250","RGS2","GABRR2","SAP30","PELI1",,"VTN",,"HPR","KCNK7",,"KCNK7","MYH2","HIST1H2AI","SYT1","MT3","MYH2","TUBA8","RRAGD"
,"E2F8","PDE4B","DOCK10","NEK9","TM9SF3","CACNA1C",,,"DUSP5","HNRNPA3P1","C21orf91","FAM83D","SPEER4F","LSS","LDHC","OPA1","MIA",,,"PCNT","CCR4","PDYN","ECM2","RFX2","FXYD7","FBLN2",,"RECQL4","DENND2D","FOXO4","ZWILCH","PPP1R15A","RMND1","TTC9","FAM49A","MADCAM1","HOXC8","C7orf63","PRSS50","LOC646621","BTG4","BCL2L14","CDR2","CCBL1","SPAM1","PRDM14","NCF1","FLVCR2","PCYT2","HBZ","MTHFD2","TFEC","SEMA3G","CHST11","EVI2A","SDPR","C6orf226","SNTB2","DPF3","GRIK5","CCNE2","CES5A","SNN","KCNJ16","SLC24A3","SYT4","BCR","SEMA3D","PRM1","FLJ11827","KIR2DL5A","PMP22","MAPK6","ZCCHC14",,"GSS","HLA-DRA",,"SERPINB10","LIMK1","PLK2","ASB2","ALLC","IFITM1","SLCO3A1",,"ASIP",,"GRID2","ACCN4",,"ACCN4","CXCL1","KCNA2","SFRP1","CCL20","CXCL1","LAIR2","ZNF22"
,"DDX46","CASP7","UPK1A","VHL","EIF3A","KIAA0040",,,"CCKAR","CEBPD","NIP7","ANKRD32","SPRR2A","FBXO6","TMEM97","SPRYD7","SHC2",,,"TK1","MNAT1","AURKB","RPE65","EVX1","P2RY11","DSP",,"GPR160","FARSB","ACY3","FYB","SELS","GGH","C1orf106","UPK2","MCTP1","NR0B2","AFP","WDR25","SHC3","TSSK2","DXS542","EGR3","SLC1A5","TP53I3","SLC22A14","GPX6","HNF1B","SLC35G3","RHOU","CES1P1","NTM","SIRPA","NTM","CSH2","HSPA1A","FAM65C","SLC25A25","REC8","TCP11","LAGE3","STMN1","ERG","RAN","VLDLR","SLC35F4","DCPS","AZU1","LRP8","RPP25","MAFK","RBM3","PPP1R37","LTBP2",,"SAMM50","THBS4",,"SLC16A14","GPATCH2","GBP3","KITLG","HPR","CPVL","RGS20",,"KIAA1430",,"SIDT1","DNAJA4",,"DNAJA4","CTNNA2","GFI1","TMOD1","TAS2R1","CTNNA2","RAB40C","WT1"
,"TBP","ERO1L","LAMB2","RUNX1T1","CDC25A","TLE3",,,"HSPA1B","PCGF2","DKC1","TMEM48","LRG1","VAMP5","IL27RA","PHEX","COL11A2",,,"S100A4","FSD1","STK36","SLC7A5","INSL3","JUN","AZGP1",,"ZDHHC12","FOS","MIOX","MCM5","ATP5G2","KATNA1","MYO1D","KLHL7","DCP2","PTPN7","F2RL1","LOC643326","FAM161A","RLN1","EGFL7","LTC4S","POLR3G","ANO2","SERPINA1","ANGPTL7","PRSS8","DACH1","DPP4","EPAS1","MLL","FGF21","TIE1","PLCE1","KIF13B","KLF8","LLGL2","GFAP","CALN1","VPS16","H1FX","CHCHD6","SLC1A2","LRP2","CBLN4","EFHD2","PID1","CD69","GNRH2","ZNF76","EXOSC8","HTR1E","KHDC1",,"ECI1","STK39",,"SATB2","C5AR1","ANXA1","CXCL2","OTOR","EMP3","TUFT1",,"AKR1C3",,"WNT3","BEX1",,"BEX1","ISG20","LOC440334","SATB1","KIR2DL3","ISG20","ADM2","S100A2"
,"CCDC164","ZNF281","SLC12A2","KIAA2013","CD6","GMDS",,,"MAT1A","PTS","C9orf30","SMS","BACE2","MAN2B2","SEPT9","PRKACB","PYY",,,"MMP8","ABCB9","TSPO2","CYP2C9","TPTE","PEX6","COL13A1",,"GAD1","TTC18","QPCTL","FNDC1","PEX12","UHRF1BP1L","SLC9A6","CYP1B1","NEUROD6","MTHFD2L","MAN2A1","COCH","CACNA1H","SHANK1","KCNA5","SPNS2","FAS","ZMAT3","EFS","TRIB2","CRIM1","GSTT2","BAIAP2L1","ETV1","ABCA1","SLC29A2","PIEZO1","INSL4","UPB1","UCHL3","MYLK","SLC25A25","ARMC1","TNFSF9","UBR7","ZBTB17","STK38L","EMP3","KRT222","TSPAN2","RASAL2","RAB40A","KIR2DL5A","SLC7A5","RALYL","ZNF304","CHST11",,"NQO1","ARHGEF3",,"CARS2","THAP1","GPR65","TTC30B","ATXN3L","MED24","TRAK2",,"NLN",,"CRCT1","USH1C",,"USH1C","CALB1","EFNA5","SNAP25","BTC","CALB1","TIMP4","ZNF350"
,"TOP2A","SLC7A11","B3GALT4","SLC23A2","GFM2","VSIG4",,,"HBA2","CA4","DLX2","BEX1","KLF6","PLSCR1","CDH17","HS2ST1","CPA1",,,"PSMB9","RAD51","LTA","CLIC5","FZD9","INTS6","PPARD",,"ANTXRL","ZNF593","LOC651803","SRPX","KIAA0141","EPN3","SPTBN2","PKD2","OPA3","GADD45G","SEMA3A","SLCO4A1","MED13","SMA4","PSG7","TET1","CLPB","CLIP4","GPR45","TRAFD1","CHST15","CCDC114","FGFRL1","CCL19","VNN1","FADS3","FOSL1","TCF7L1","C9orf31","MRPL30","XIST","MLF1","GRIP1","TGM1","TSSC4","LSM4","CKAP5","TNFRSF12A","RTN4RL1","WIPF1","RCBTB2","POLR3G","ESRP2","AGAP2","HDLBP","NCKAP1L","CKMT2",,"CORO1B","TGM5",,"EGLN3","DUSP5","LMBRD2","PHLDA1","TUBA8","KHDRBS3","SLC39A6",,"SLC5A11",,"RBP4","ARHGAP24",,"ARHGAP24","RPS4Y1","PCDHGA11","CCND2","CCT8L2","RPS4Y1","OR7E24","LOXL1"
,"SDCCAG3","TNS3","RFTN1","COX7B","DES","NCOA1",,,"SLN","BLM","GABPB2","AHSA1","MAL2","CXCL16","IGLL1","KIF5B","ZNF76",,,"ITIH3","GINS2","IL6","IL24","ANGPTL4","IL1B","RP2",,"UNG","TDRD10","FAM70B","TFAP2B","STRADA","BACE2","RAI2","PTGER4","GATA1","PDGFA","ACTL8","KRI1","TET3","SLCO1A2","PPIEL","USP27X","DDIT4","ANXA3","TEX13B","PHF21A","ABHD5","SP1","ARID3B","OR10H3","SLC1A4","ITGB8","FAP","MYOT","PIAS3","LST1","HSPA1A","PPARGC1B","KLHL36","TNFRSF18","RPA2","ELOF1","NCEH1","TMEM37","MYH3","FBP1","KMO","NEUROD4","PQLC2","FOXD2","PPIP5K2","SLC5A3","ACSBG1",,"DRG1","IPCEF1",,"FDXR","TREM1","GLIPR1","ARID5B","SOX12","BMP6","OSBPL2",,"ABCB6",,"TSPYL5","GPR4",,"GPR4","NR1H4","KLK12","SLC1A3","C7orf63","NR1H4","LRCH1","GNG11"
,"ATP5D","SLCO2A1","S100P","EPB41L4B","RRM1","AEBP1",,,"PLK3","KIAA0090","DNTTIP2","CCT6P3","C3orf52","BACE2","CYP26A1","F11","TCL1A",,,"ATP2B2","TRIM14","RSPO1","H6PD","IL1RN","ATP2A1","VASP",,"FAM92A1","SLC25A15","BAHD1","FBLN1","OXA1L","DIAPH2","TNS3","ITGB6","CDH22","LUZP4","ZNF215","CBX7","ADAMTS3","ANGPT4","KLHL28","TYMP","CARS","THBS4","ZSWIM1","NARG2","C10orf58","KCNC1","MFAP2","FAM188A","HAPLN1","MLL","SRPX2","PGR","SPTBN2","GEMIN6","ABCA4","CROCC","STK17B","RAD51C","GSTM2","LITAF","AQP9","AEBP1","CNTNAP4","TUBA4A","SPINT1","CNNM4","VSNL1","PRSS50","AQP3","UAP1","SMURF1",,"FXYD3","ENTPD4",,"WDR18","C10orf46","HIST1H2AL","ADAM28","JAK3","PPAP2C","ZC3H12A",,"VPREB1",,"WFDC8","ATP1A2",,"ATP1A2","SPRY2","TMPRSS4","RCAN2","ANO1","SPRY2","TNNI1","PCSK1N"
,"TK1","FERMT2","FADS2","KIF1A","POLA2","PLA2G5",,,"CGREF1","TTLL12","TIMM22","HIP1","SGPL1","HCK","UHRF1","RIF1","CRYGD",,,"FOXG1","HSPA6","INSRR","GKN1","RNF39","TEX14","NMNAT2",,"MEX3B","AHSA1","A1BG-AS1","DARS","PMAIP1","ECI2","LRP5","PARVA","NIN","ASCL3","OPN3","ACAP1","EFHD1","EXTL1","C1orf105","PIPOX","COASY","G0S2","RIMS2","CPT1B","WBSCR27","PRICKLE1","SEPN1","GRRP1","FGF21","ANXA3","CA12","CYP26A1","BHLHB9","C8orf33","BST1","LOC253039","PLA2R1","SNAP25","IPO9","ADCK3","TECTB","MRPS6","C20orf103","KIAA0415","PLAU","LSP1","ELMO3","GPR85","XPA","CLDND1","CD3EAP",,"PMPCB","IFI30",,"IL17D","CLVS1","KIAA1659","TRIM23","TTLL3","PDLIM2","STAM",,"TM4SF20",,"CSTA","KIF5A",,"KIF5A","IL23A","FMO2","NUDT11","SIGLEC15","IL23A","CES1P1","INHBE"
,"HDGFRP2","DUSP5","ZNF467","RPL39L","ZNF281","CD97",,,"CD52","TK2","C6orf228","MAZ","GGA1","TMCC3","HELLS","ARL4A","P2RX4",,,"MON1B","PRSS50","UTF1","APBA2","XAF1","LGMN","SMAD6",,"KCNS3","DIS3L","CCDC23","IL8","NQO2","IGFBP5","TMPRSS4","TUBB2A","DKK2","HOXA2","EDN1","IL1RL2","CACNB2","CD34","TNFRSF17","OAS3","RRP15","CHRDL1","MOGAT2","PCSK4","ID2","TERT","HBE1","LIN28A","TNIP3","SRPX2","ITGB8","GALR3","RGS2","JOSD1","RDH5","KLHL36","KCNB1","ZW10","CCNF","CYBA","AGPAT4","NPVF","NSF","BACE1","PLK2","AP3M2","PLXNA3","LIM2","ATF6","IFNAR1","NTF3",,"TNNT1","ISG15",,"TEX15","GBP3","KIAA1841","HAVCR2","CRYBA1","IFI35","CHGB",,"LOC100133920",,"KCNIP4","DUSP6",,"DUSP6","CCL20","ACPP","GCGR","ITGA2","CCL20","LIN7B","SERPINE1"
,"NASP","KRT81","PARM1","RHPN2","TIMM8A","TAGLN3",,,"INTS9","DNASE2","SEC24A","KCNC4","ABCA7","GDPD2","PRKCA","PISD","LY6E",,,"HSPA6","BAALC","ST8SIA3","HSD17B3","CD68","CHST1","SMAGP",,"FOXD1","MRTO4","VN1R2","IER5L","FAHD2A","PNRC1","SGCE","GNE","PLEK2","CXCL10","SLC5A7","USP46","CGA","ZNF529","PTH1R","TMEM135","RRP9","MIR22HG","AURKB","KIAA0195","PHLDA1","RNF123","APP","CXCL5","SIK1","VNN1","TNFSF9","ASPN","GTF3C5","ACYP1","C16orf74","PIP4K2C","HAS1","DNAJC9","VEGFB","RSPH9","GABRG1","CCNG1","SH2D5","CCRN4L","ST3GAL6","IL18RAP","PUS1","CFD","INHBA","LAS1L","KLF7",,"C12orf11","SCHIP1",,"SLC47A1","PLAU","HIST1H3J","AQP9","CLEC5A","DPYSL2","PLAU",,"TNFRSF11B",,"HIST1H2BB","RDH5",,"RDH5","LOC401034","CMA1","MAP7","HS3ST3A1","LOC401034","CYP2R1","AXL"
,"RB1","COTL1","PACS1","MRPL50","TEAD3","ASTN2",,,"NRG1","FZD5","BRPF1","PREB","IFIT1","FABP5","RD3","TRMU","PTPRJ",,,"N6AMT1","PLK4","GALNT11","HCAR3","CXCL1","NTM","EGFR",,"DCK","LHX6","IRF8","EVI2A","CCDC124","PPP1R3C","CSGALNACT1","SEPT10","SPON1","ZHX3","IFI44","CH25H","PRRG2","IFNA14","CLEC3B","CA2","CEBPG","FYB","GLS2","PTPRCAP","F3","FBP1","CTDSPL","STEAP4","KIF21B","ANPEP","SLCO2A1","PSPH","WDR7","CHCHD1","BMP15","MC1R","LLGL2","MANSC1","TUBG1","VSIG2","GOT2","KIRREL3","ENO2","POP4","HLA-DMB","PTH1R","RHOB","PCSK7","FCHSD2","CHKA","SLC26A2",,"UBE2E1","SNX10",,"LYRM7","FBXL13","MYBPH","FAM177A1","KCNC1","ALDOC","WWTR1",,"ASNS",,"LILRB5","DCBLD2",,"DCBLD2","LAT2","GPR144","SCN1B","ATG10","LAT2","TRIM31","SLIT1"
