"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","MTOR_UP.N4.V1_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","EIF4E_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"GPR19","LHFPL2","ULBP2",,"RAG2","ADCY10","KDM5C",,,,,"RDH11","ATF3",,,"SLC13A4","TNFRSF13B",,,"PCOLCE2","RPUSD4","PFKFB1","RABGGTA","TST","STRN4","NMT2","CD5","IRF8","COL4A6","TRAF3IP1","USH1C","CAPN11","CD68","VIL1",,"FXYD2",,"TRIB1","RAC3","ARHGAP22",,"LRP12",,,"DYX1C1","ZNF678","LOC284801",,"ABHD10","GCA",,,,"NTRK3","NTRK1",,,,,,"ALLC"
,"MED20","LPIN1","HOXB7",,"CLIC4","CCNG2","CACNG1",,,,,"DZIP1","ITM2A",,,"ETS2","KCNA2",,,"LCN6","C1QTNF9B-AS1","SLC25A23","KRTAP4-7","C4orf19","KCNN4","RRAS2","NTM","PRSS12","DKFZp566H0824","GPC6","SREBF1","C10orf10","TSHZ1","SESN3",,"FZD2",,"MED26","TM4SF5","C6",,"MATN1",,,"KCTD3","CDC37L1","PELI1",,"DLGAP5","TP53I3",,,,"CDHR2","KCNA5",,,,,,"GJB1"
,"SMC2","MGLL","CNOT8",,,,"GALNS",,,,,"RAP1A","ENO2",,,"NEFM","CA14",,,"EFS","ZNF420","TECTA","AATF","ALDH3B2","VWA1","FZD5","FOXG1","NR3C2","ELTD1","IFNA1","SPRED2","RPE65",,"IGFBP4",,"PJA2",,"TNFRSF9","WISP3","HIST1H1E",,"WNT11",,,"CREBL2","TMTC3","HECW2",,"AKAP12","CAMK2G",,,,"CD80","DENND5B",,,,,,"FGF13"
,"E2F3","ITGA3","PCSK1N",,,,"REEP5",,,,,"ATP2A3","ADARB1",,,"ANGPTL3","GPX5",,,"LRRC45","NEFH","SEC11C","MYC","C15orf63","C8orf55","MORC4","EPS8L3","TUFT1","UBE2O","IGLL3P","MIPEP","AIF1",,"TPCN1",,"FAM107B",,"CCDC132","C12orf44","PCDHA5",,"SLC17A3",,,"CYP2E1","HIST1H2BJ","GFPT1",,"ASMTL","SERPINB13",,,,"PIWIL1","PLAUR",,,,,,"SLC6A8"
,"RRM1","ARNT2","BCL6",,,,"MSLN",,,,,"MIPEP","INPP5J",,,"ODAM","PCP4",,,"MFHAS1","TRMT1","CABP2","URM1","MRPL13","MICAL2","SCCPDH","LOC100288594","RAB40B","FAM69A","CTSS","RBM28","FGF22",,"TFEC",,"GRIK5",,"PNO1","TAS2R16","PTPRO",,"CRYAB",,,"RAB8B","FCHO2","C15orf48",,"CALHM2","PKNOX1",,,,"CDK2AP2P3","HOXD1",,,,,,"MAP7D3"
,"ADIPOR2","CTNNAL1","MAPRE3",,,,"HNRNPA0",,,,,"SMC4","TENC1",,,"ZNF804A","DIP2A",,,"FBXL16",,"SMTNL1","PYCR2","SPTLC2","KIAA0317","CAMK2N1","SCGB2A2","CD244","C9orf167","IPCEF1","LHX2","FRMPD1",,"CBX4",,"SPP2",,"LOC390998","PDE4A","OXNAD1",,"MED18",,,"MGC16142","RNF19A","CSRNP1",,"HERC5","SH3TC1",,,,"EMP1","DCBLD2",,,,,,"TRPV6"
,"STIL","CTGF","KIAA0513",,,,"HRC",,,,,"ATP13A3","ADORA2A",,,"KLHL1","FRMD1",,,"GPR137C",,"YIF1B","IPO4","HMGCS2","LGALSL","CAPRIN2","KIF5A","PCGF3","AHNAK2","KIAA1024","ICT1","MAPK8",,"TEX101",,"MTTP",,"KHDRBS3","IL5","NKX2-8",,"FOXD1",,,"HCAR3","UPP1","SULF2",,"PPM1D","SIRPA",,,,"HS3ST3B1","MMP20",,,,,,"RAMP2"
,"MAP3K11","HIVEP2","C1QTNF9B-AS1",,,,,,,,,"CEBPZ","DLG2",,,"FOXJ1","ATP13A2",,,"NGEF",,,"IVNS1ABP","GCLM","PTOV1","MAPRE2","PGLYRP4","IL12A","CLIP1","ITGA2","CAMKV","HTN1",,"NEU1",,"STX7",,"S100A1","INSR","CLDN6",,"TMC7",,,"HSD11B1","GBP2","ANKRD12",,"FUT8","PPP2R3A",,,,"KCNK3","KIAA0754",,,,,,"EPB41L4A"
,,"PDLIM7","VASP",,,,,,,,,"SMC3","AMOT",,,"PML","HOXD1",,,"SLC4A3",,,"RPL18A","PRKCH","SEPT10","PRPS1","KIR2DL4","LINC00230A","PDGFA","XK","NME7","SIX1",,"EFNA1",,"COL4A1",,"LOC388796","TNFAIP8","TP53AIP1",,"RNF126P1",,,"MORN2","FAM131A","PRTFDC1",,"BCL6","MINPP1",,,,"TBX3","SLC5A5",,,,,,"PARVB"
,,"COL5A2","DHRS7B",,,,,,,,,"TTR","HS3ST1",,,"INA","NRXN2",,,"ATP6V1E1",,,"TRIM2",,"POR","NEDD4","C3orf64","THNSL2","FZD1","NR0B2","CASR","SOS2",,"PEG3",,,,"HABP2","ALDH4A1","SPINT1",,"PIK3CD",,,"SYNJ1","TP53INP2","CMTM1",,"NAT1","ARIH2",,,,"TPH1","ANO1",,,,,,"DLL3"
,,"NFIL3",,,,,,,,,,,"CXCL11",,,"ACCN4","VRTN",,,"CDRT15",,,"RAPGEF2",,"CLDN4","TBC1D2B","IGHV1-69","ARHGAP24","CARD9",,"SLCO4A1",,,,,,,"FZD5","WDR62","LIF",,"CSNK1E",,,"MIR21","ZNF718","LFNG",,"RETSAT","ATPAF2",,,,"ESM1","EVI2A",,,,,,"PCSK5"
,,"SGMS1",,,,,,,,,,,"SHH",,,"LRRC17",,,,"WNT9A",,,"FTSJD2",,"PLAU","ARHGAP26",,"RGR","SCML1",,"SDF2L1",,,,,,,,,"PRR4",,,,,"DPY19L4","STAM2","GNPDA2",,"UBE2W","RRAS",,,,"ATP4A","USH2A",,,,,,"PELI2"
,,,,,,,,,,,,,"PTPRC",,,,,,,"MAP6D1",,,"FOS",,"ARRB1","TES",,"SCTR","PIK3CB",,"E2F6",,,,,,,,,,,,,,"CC2D1B","TK2","ZEB2",,,"MAST4",,,,"LAPTM5","MMP15",,,,,,"FJX1"
,,,,,,,,,,,,,"HSD11B2",,,,,,,"SYN1",,,"SLC25A5",,"CHST11","GCLM",,,,,"MRPL22",,,,,,,,,,,,,,"BTG3","EVI5","MTMR9",,,"DEGS1",,,,"CHRNA3","TFPI",,,,,,"ELK3"
,,,,,,,,,,,,,"FMO5",,,,,,,"TMEM97",,,"RBCK1",,"SCAMP4","PRKCH",,,,,"PDHX",,,,,,,,,,,,,,"PELI1","FCHSD1","USP53",,,"RIT1",,,,"IFNA8","MAPK10",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"EIF2B3",,,,,,,,,,,,,,,,,,,,,,"TLR1","UNKL","EMP1",,,"TNFAIP3",,,,"IGF2","WNT7A",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"ACSL4",,,,,,,,,,,,,,,,,,,,,,"ANKRD12","ACRC","ADORA3",,,"RHOBTB1",,,,"KCNC1","CELA2B",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"ELMO1",,,,,,,,,,,,,,,,,,,,,,"LOC146795","NAPSB","C15orf60",,,"RNGTT",,,,"SH2D2A","OGDHL",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"OCIAD1",,,,,,,,,,,,,,,,,,,,,,"KIAA1468","C12orf35","RHOC",,,"CGRRF1",,,,"ZDHHC11","DDIT3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USP53","ZNF763","NCEH1",,,"PCTP",,,,"DEFA5","ARG1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APPL2","MGC12935","CD9",,,"ENDOG",,,,"GNG11","TMEM158",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARRDC3","ARL5B","BCL2A1",,,"PPP3CC",,,,"PMS2P4","ST6GALNAC5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IL6ST","RASGRP3","JUN",,,"PHTF2",,,,"TLR8","UGT2B28",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANBAL","RNF19B","ST20",,,"MAP3K2",,,,"CTNND2","TMEM156",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JUN","ERMAP","PLCXD2",,,"NME3",,,,"MAGEA11","HDAC9",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ULK2","RGS2","DAAM1",,,"SPRR1B",,,,"ARL4C","LAG3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NECAP1","TMOD2","ATG14",,,"ISL1",,,,"LDB3","PLA2G3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HECTD2","ZMYND17","EGR3",,,"MAST3",,,,"SPINK1","SPIB",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C1QC","MIR22HG","ADM",,,"TMEM41B",,,,"MLXIPL","C7orf63",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TLR6","CD9","PPP3R1",,,"NF2",,,,"CEND1","CFHR2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOC653754","ADM","TTLL7",,,"GTF2H1",,,,"SLCO4A1","LAMC3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LAMB3","LOC644656","WDR20",,,"SLC33A1",,,,"PLAT","LPL",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CSRNP1","GPR137B","SLC7A11",,,"C16orf5",,,,"KIT","C1orf68",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KCNJ15","HIST1H3F","BTG3",,,"NT5C2",,,,"LINC00341","SAMD14",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PPP1R3B","LCOR","AUH",,,"TTC33",,,,"CMKLR1","WDR25",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WDR19","IL15","STC1",,,"ATF3",,,,"MYF6","FLT4",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGPL1","RNF141","PPP1R15A",,,"SNX11",,,,"OR2C1","GPRC5D",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TUBB2A","ZNF682","MANBAL",,,"ANXA6",,,,"PFKFB1","SEMA3A",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C9orf86","CYBB","NOV",,,"STX3",,,,"TMEM158","LHB",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CTTNBP2NL","HIST1H3I","ANXA1",,,"AKR1C3",,,,"GALR2","MYOC",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEMA4D","MFAP3","LOC643424",,,"PROS1",,,,"TRIM2","TRIM46",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNK","MIDN","HIST1H3J",,,"GALNT12",,,,"PRO0478","GRIN2A",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TFEC","ARID5B","SNORA68",,,"ABR",,,,"CSF2RA","STX1A",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UBE3C","PLAU","CMTM3",,,"SRPX",,,,"MGC4771","SSTR5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ST3GAL1","FGD4","NFXL1",,,"VOPP1",,,,"BMP7","CLEC4A",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HIST1H2BC","GDPD1","CYBRD1",,,"TBPL1",,,,"PLAU","CCL22",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NCEH1","GPR132","CXCL1",,,"PAQR3",,,,"MMD","CCT8L2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ELK4","DPY19L4","MYOZ2",,,"ITGAV",,,,"INHBA","PTTG2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SLC24A3","SYCP2","PPBP",,,"GOLGA8A",,,,"CYP27B1","TOX3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A2M","ARRDC3","OSTM1",,,"TUBB2A",,,,"GFAP","ARHGAP24",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KYNU","LPXN","RNF19B",,,"PRPF4B",,,,"KIAA0226L","FAM120C",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IER3","TTLL7","MAFF",,,"BTG1",,,,"NRP1","CHST2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAPRIN2","PTPRM","AMN1",,,"FAM63B",,,,"KCNA5","SOX17",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAB39L","ETV1","KYNU",,,"DCUN1D2",,,,"GRM1","BMP2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JUNB","ZNF432","FLJ12120",,,"UBA3",,,,"MTMR8","SFRP5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NRAS","SLC7A11","COQ10B",,,"HSPA2",,,,"SATB1","SYP",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EFNB2","DYNC2LI1","GALNT4",,,"TMEM50A",,,,"MAGEH1","LOC646649",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EPAS1","UBE2W","LOC338758",,,"SCHIP1",,,,"ITPKA","FOXL2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLF6","ANKRD57","ZNF238",,,"RABIF",,,,"ALPI","FUT5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MGAT4B","IFI16","TRAC",,,"CD97",,,,"MMP17","CCR10",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C12orf44","NECAP1","ZMYND17",,,"TFE3",,,,"DIRAS2","NACC1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAFF","CD58","HIST1H2AM",,,"SLC2A3",,,,"SLIT1","HIC1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FCRLB","LOC643072","LOC284757",,,"PASK",,,,"AMBP","MAGEA6",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KIAA1279","ZNF407","ZBTB6",,,"DUSP3",,,,"LGALS14","DEFB4A",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WDR20","ARHGAP42","RIN2",,,"DNAJB6",,,,"LIMCH1","NPHS1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HECW2","MNS1","KIAA1659",,,"ZDHHC6",,,,"MSMB","MYF6",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAM134A","ATRX","NUAK1",,,"SLC39A4",,,,"LPPR1","TONSL",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AKTIP","STOX2","TNF",,,"NRBF2",,,,"LAG3","BRSK2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PTPLAD2","TNF","AFF4",,,"CRABP2",,,,"FAM174B","MTMR8",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAR1B","IRF1","FAM70A",,,"IFT57",,,,"MOBP","ZNF671",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTBD7","CMTM3","SETBP1",,,"CCDC68",,,,"PRG1","PTGIS",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAP3K8","CD53","VWA5A",,,"PIK3CD",,,,"HIST1H2BB","SPHK1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHAMM","LOC285147","AKTIP",,,"NUDT4",,,,"FLT4","PRDM14",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAM199X","PALLD","WBP2",,,"TRIM36",,,,"PELI2","PLXNB3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KIFC3","TRIP11","GPRIN3",,,"TNFRSF10B",,,,"NR4A3","KIF24",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STK17B","NFXL1","FGL2",,,"GOLPH3L",,,,"MGAT4A","SLIT2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TNFAIP6","PPCS","GLCE",,,"MICA",,,,"TLR4","TAPT1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NR1D2","NMNAT1","RNF121",,,"SAP30BP",,,,"TRIM45","HAO2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CLEC7A","CEP19","BTN2A1",,,"FERMT2",,,,"KCNJ13","ANO2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PTGFRN","SUCNR1","C10orf54",,,"CSGALNACT2",,,,"PCDH9","ATP4A",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CADM1","JUNB","IL6ST",,,"LIPG",,,,"C10orf81","PRSS2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZNF238","TGFB1I1","LOC440309",,,"GPX2",,,,"GPR18","SOX10",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TBCEL","HECW2","GPR135",,,"ENO2",,,,"DUSP4","NCAM1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MEIS3P1","DNAJB4","DYNC2LI1",,,"HSD11B1",,,,"PLA2G4C","IL24",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PTPN3","TCTEX1D1","ZRSR1",,,"P2RX5",,,,"TMEM156","GNG11",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HIST1H2BG","OSBPL11","RTN1",,,"TIMP4",,,,"LOC651803","KCNH2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GNA12","MFSD9","TLR10",,,"DDAH2",,,,"EN2","HSD3B2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAMK2D","BCL3","MEIS3P1",,,"MGLL",,,,"TSPY1","MSMB",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NPEPPS","TNFRSF21","LRRC25",,,"GPR56",,,,"KRT8P12","TRIM45",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PGBD5","MXD1","CLVS1",,,"VAMP3",,,,"SOX9","CACNG1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NAMPT","C20orf197","COL6A3",,,"BEX4",,,,"PLA2G3","WNT1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HINT3","HIST1H2BB","ATXN1",,,"RAB7L1",,,,"EXOC6B","CYP4F8",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CGRRF1","TNFAIP2","RNF149",,,"CHIC2",,,,"CCNJL","CECR1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CCL20","EPB41L5","NME7",,,"CXCL2",,,,"C1QTNF1","MAGEA11",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZFP36","EMP3","HNMT",,,"TRAM2",,,,"NMNAT2","MIA",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WBP2","SKIL","SOCS6",,,"C6orf145",,,,"CCR6","CLDN5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C3AR1","TNFRSF11B","SOS1",,,"SLC2A10",,,,"REEP2","PLVAP",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GLIPR1","ZNF675","WNT5A",,,"NFIL3",,,,"FMNL2","NMUR1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DDIT4L","PLXNB2","SEPT10",,,"PRSS3",,,,"FLJ13310","NRCAM",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAM114A1","ERRFI1","FAM198B",,,"DUSP14",,,,"ALDH8A1","CD1B",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IRS1","LOC727815","CYTH2",,,"LIPT1",,,,"LPXN","GFAP",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZIC2","CD86","OTUD1",,,"C11orf75",,,,"ADCYAP1R1","FRMD1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FBXO32","STX6","MGC16142",,,"MREG",,,,"BUD31","LOC79999",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RNASEL","SH2B3","KIAA1468",,,"TMEM184B",,,,"UGT8","CD160",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SLC11A2","NFKBIZ","ZMYND11",,,"ANKMY2",,,,"CLSTN2","S100A5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TM6SF1","KITLG","ANKRD40",,,"TNFAIP1",,,,"FOXG1","IMPG1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAMD9L","CYTH4","MFAP3",,,"KCTD14",,,,,"LGALS14",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KIAA1467","NFKBIA","RNF141",,,"DPY19L1",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UEVLD","BBS12","CDKN1B",,,"ARAP3",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CD300C",,"DNAJC15",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DAB2",,"UNKL",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KIAA0232",,"SAMD9L",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOS1",,,,,,,,,,,,,,,,
